2017-01-20,['SWKS', 'MCHP', 'AVGO', 'NTES', 'MXIM']
2017-01-23,['CSX', 'NTES', 'JD', 'WYNN', 'GOOGL']
2017-01-24,['MAT', 'WDC', 'AVGO', 'MU', 'MXIM']
2017-01-25,['ISRG', 'VRTX', 'IDXX', 'PCAR', 'HOLX']
2017-01-26,['TMUS', 'CMCSA', 'STX', 'FOX', 'AAL']
2017-01-27,['ADI', 'AMGN', 'AMAT', 'LRCX', 'NFLX']
2017-01-30,['DLTR', 'SWKS', 'HAS', 'MU', 'JD']
2017-01-31,['REGN', 'CELG', 'BMRN', 'DLTR', 'SHPG']
2017-02-01,['NVDA', 'ALXN', 'INCY', 'DISH', 'ILMN']
2017-02-02,['IDXX', 'CTXS', 'SYMC', 'ADSK', 'STX']
2017-02-03,['LILAK', 'JBHT', 'LILA', 'STX', 'SYMC']
2017-02-06,['NVDA', 'TSLA', 'ALXN', 'FAST', 'NTES']
2017-02-07,['ADSK', 'CTSH', 'NFLX', 'AKAM', 'EBAY']
2017-02-08,['INCY', 'INTU', 'ORLY', 'BMRN', 'EBAY']
2017-02-09,['REGN', 'AAL', 'VRSK', 'HOLX', 'XRAY']
2017-02-10,['ATVI', 'LILA', 'MELI', 'JBHT', 'PCLN']
2017-02-13,['TSLA', 'REGN', 'XLNX', 'STX', 'CERN']
2017-02-14,['CERN', 'DLTR', 'MYL', 'INCY', 'HOLX']
2017-02-15,['MYL', 'GILD', 'CELG', 'BIIB', 'AMGN']
2017-02-16,['LILAK', 'LILA', 'NTES', 'WBA', 'CHTR']
2017-02-17,['TMUS', 'KHC', 'SWKS', 'LILAK', 'LILA']
2017-02-21,['DISCA', 'KHC', 'AMAT', 'DISCK', 'LILA']
2017-02-22,['NCLH', 'NTES', 'QVCA', 'FB', 'FISV']
2017-02-23,['INTU', 'PAYX', 'GILD', 'ADP', 'AMGN']
2017-02-24,['NVDA', 'MELI', 'JBHT', 'INCY', 'PYPL']
2017-02-27,['BMRN', 'REGN', 'VRTX', 'CELG', 'NVDA']
2017-02-28,['BMRN', 'TSLA', 'XRAY', 'STX', 'VRTX']
2017-03-01,['ATVI', 'WYNN', 'PCAR', 'PAYX', 'ADSK']
2017-03-02,['ROST', 'MYL', 'DLTR', 'INTU', 'ULTA']
2017-03-03,['INCY', 'MNST', 'FAST', 'TMUS', 'AAL']
2017-03-06,['SYMC', 'LILAK', 'ATVI', 'QVCA', 'LILA']
2017-03-07,['VIAB', 'JD', 'EXPE', 'VRTX', 'EA']
2017-03-08,['QVCA', 'JD', 'HOLX', 'REGN', 'INCY']
2017-03-09,['INCY', 'REGN', 'IDXX', 'CELG', 'AVGO']
2017-03-10,['INCY', 'ULTA', 'CTRP', 'LRCX', 'NCLH']
2017-03-13,['CTXS', 'SIRI', 'NVDA', 'WYNN', 'SYMC']
2017-03-14,['TSLA', 'ISRG', 'ADI', 'CTRP', 'TSCO']
2017-03-15,['AAL', 'MU', 'LBTYA', 'VOD', 'LBTYK']
2017-03-16,['DLTR', 'BIDU', 'LRCX', 'SIRI', 'WYNN']
2017-03-17,['WYNN', 'CTAS', 'NTES', 'NVDA', 'SBUX']
2017-03-20,['NVDA', 'MELI', 'WYNN', 'CTRP', 'NTES']
2017-03-21,['CERN', 'BIIB', 'ILMN', 'COST', 'KHC']
2017-03-22,['MAR', 'WDC', 'ILMN', 'NVDA', 'FISV']
2017-03-23,['WDC', 'AAL', 'LVNTA', 'CTXS', 'JD']
