Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,37.34,38.029999,36.029999,36.720001,36.720001,3168700
2016-09-27,36.860001,38.0,36.860001,37.689999,37.689999,2505300
2016-09-28,37.810001,37.860001,36.950001,37.439999,37.439999,2938900
2016-09-29,37.48,37.5,36.610001,37.16,37.16,1723300
2016-09-30,37.32,38.0,36.93,37.700001,37.700001,1744000
2016-10-03,37.689999,38.07,37.389999,37.779999,37.779999,1243400
2016-10-04,37.310001,38.139999,37.25,38.049999,38.049999,1499600
2016-10-05,36.919998,38.34,36.200001,38.259998,38.259998,3730200
2016-10-06,38.290001,38.68,37.98,38.639999,38.639999,2146400
2016-10-07,38.59,38.73,38.310001,38.459999,38.459999,3508000
2016-10-10,38.540001,38.66,38.349998,38.48,38.48,1216600
2016-10-11,38.509998,38.52,37.689999,37.950001,37.950001,1747800
2016-10-12,37.950001,38.240002,37.599998,38.080002,38.080002,1455400
2016-10-13,37.459999,38.049999,37.450001,37.790001,37.790001,1569500
2016-10-14,37.25,37.889999,37.099998,37.330002,37.330002,2125200
2016-10-17,37.439999,37.619999,37.209999,37.470001,37.470001,1765100
2016-10-18,37.959999,38.669998,37.900002,38.25,38.25,1310400
2016-10-19,37.66,38.220001,37.400002,38.110001,38.110001,1417800
2016-10-20,38.200001,38.799999,37.689999,38.740002,38.740002,1134700
2016-10-21,38.419998,38.540001,37.799999,37.990002,37.990002,3208100
2016-10-24,38.360001,39.189999,37.990002,38.060001,38.060001,2839500
2016-10-25,37.84,38.09,37.450001,37.73,37.73,1862200
2016-10-26,37.650002,38.290001,37.52,37.970001,37.970001,1070500
2016-10-27,37.43,37.57,35.57,35.709999,35.709999,2749300
2016-10-28,36.779999,38.349998,36.509998,38.240002,38.240002,2818900
2016-10-31,38.439999,38.959999,38.18,38.869999,38.869999,1593700
2016-11-01,39.110001,39.139999,37.209999,37.700001,37.700001,1760000
2016-11-02,37.790001,38.32,37.209999,37.490002,37.490002,1170600
2016-11-03,37.599998,37.849998,37.02,37.209999,37.209999,1503100
2016-11-04,36.869999,37.790001,36.869999,37.0,37.0,1232300
2016-11-07,37.689999,37.860001,37.419998,37.830002,37.830002,2560000
2016-11-08,37.84,39.25,37.470001,39.130001,39.130001,3036100
2016-11-09,36.82,38.299999,35.209999,35.529999,35.529999,5489000
2016-11-10,35.799999,38.52,35.799999,37.970001,37.970001,4985600
2016-11-11,37.68,39.040001,37.07,38.419998,38.419998,3205800
2016-11-14,38.5,41.610001,38.5,41.34,41.34,3492900
2016-11-15,41.490002,41.490002,40.099998,40.169998,40.169998,1996800
2016-11-16,40.130001,40.130001,39.099998,39.57,39.57,1252400
2016-11-17,39.599998,40.049999,39.330002,39.830002,39.830002,1294200
2016-11-18,39.68,40.07,39.139999,39.68,39.68,1597400
2016-11-21,39.790001,40.119999,39.459999,39.59,39.59,1324100
2016-11-22,39.849998,40.349998,39.459999,40.25,40.25,1451900
2016-11-23,39.310001,40.209999,39.310001,39.98,39.98,1123000
2016-11-25,39.959999,40.59,39.650002,40.580002,40.580002,510700
2016-11-28,40.509998,40.66,39.77,40.099998,40.099998,1525400
2016-11-29,40.310001,40.709999,40.09,40.709999,40.709999,1220600
2016-11-30,40.48,40.48,39.32,39.810001,39.810001,1752300
2016-12-01,39.869999,40.279999,38.68,38.849998,38.849998,1323700
2016-12-02,38.709999,39.330002,38.66,39.279999,39.279999,1096300
2016-12-05,39.700001,40.990002,39.48,40.639999,40.639999,1406200
2016-12-06,40.880001,41.41,40.470001,41.25,41.25,1152400
2016-12-07,41.27,42.860001,41.080002,42.66,42.66,1461100
2016-12-08,42.77,44.169998,42.380001,44.02,44.02,2234100
2016-12-09,44.189999,44.700001,43.759998,44.5,44.5,1182900
2016-12-12,44.209999,44.380001,43.32,43.990002,43.990002,1906800
2016-12-13,44.040001,44.16,43.580002,43.900002,43.900002,1278400
2016-12-14,43.919998,44.91,43.650002,44.029999,44.029999,1342800
2016-12-15,44.169998,45.369999,43.52,45.139999,45.139999,2087300
2016-12-16,45.200001,45.200001,43.810001,44.130001,44.130001,1968000
2016-12-19,43.970001,43.970001,42.900002,43.060001,43.060001,1362900
2016-12-20,43.52,45.5,43.259998,44.919998,44.919998,1901700
2016-12-21,45.02,45.16,44.630001,44.93,44.93,658600
2016-12-22,44.830002,44.869999,43.330002,43.380001,43.380001,1050700
2016-12-23,43.509998,43.700001,43.16,43.509998,43.509998,1474300
2016-12-27,43.619999,44.529999,43.529999,43.689999,43.689999,442700
2016-12-28,43.68,43.68,42.889999,42.93,42.93,718800
2016-12-29,42.93,43.450001,42.040001,42.66,42.66,2178400
2016-12-30,42.619999,42.970001,42.099998,42.529999,42.529999,856900
2017-01-03,43.130001,43.869999,42.639999,42.790001,42.790001,1618500
2017-01-04,43.099998,44.889999,42.779999,44.77,44.77,1854500
2017-01-05,44.509998,44.790001,44.02,44.549999,44.549999,933700
2017-01-06,44.75,44.919998,44.060001,44.25,44.25,932900
2017-01-09,44.139999,44.700001,43.900002,44.389999,44.389999,855800
2017-01-10,44.330002,45.360001,44.330002,45.220001,45.220001,1065500
2017-01-11,45.009998,45.82,44.720001,45.75,45.75,870500
2017-01-12,45.470001,45.830002,44.669998,45.349998,45.349998,731500
2017-01-13,45.490002,45.490002,44.84,44.950001,44.950001,547700
2017-01-17,45.080002,45.220001,44.200001,44.740002,44.740002,905400
2017-01-18,44.970001,45.77,44.560001,45.669998,45.669998,943000
2017-01-19,45.759998,46.360001,45.389999,45.619999,45.619999,1031300
2017-01-20,45.93,46.41,45.41,45.630001,45.630001,736000
2017-01-23,45.470001,46.150002,45.150002,46.0,46.0,826800
2017-01-24,45.919998,46.950001,45.830002,46.84,46.84,1239400
2017-01-25,47.220001,48.240002,46.959999,48.09,48.09,1275800
2017-01-26,49.220001,50.049999,48.77,49.330002,49.330002,2613500
2017-01-27,49.349998,49.560001,48.610001,49.02,49.02,945300
2017-01-30,48.799999,48.880001,47.939999,48.029999,48.029999,1337100
2017-01-31,47.880001,48.110001,46.830002,47.0,47.0,1625200
2017-02-01,47.299999,48.450001,46.830002,48.080002,48.080002,1296500
2017-02-02,48.169998,48.5,47.549999,47.66,47.66,694700
