Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,53.91,54.09,53.330002,53.970001,53.970001,1502400
2016-09-27,53.959999,54.790001,53.790001,54.349998,54.349998,2275500
2016-09-28,54.509998,55.119999,53.84,54.93,54.93,2115700
2016-09-29,54.720001,55.639999,54.57,55.040001,55.040001,2943100
2016-09-30,55.25,55.25,54.549999,54.779999,54.779999,2249400
2016-10-03,54.709999,55.740002,54.689999,55.650002,55.650002,1995400
2016-10-04,55.560001,56.259998,55.369999,55.900002,55.900002,2005200
2016-10-05,55.93,56.970001,55.849998,56.09,56.09,2091700
2016-10-06,55.779999,56.130001,55.130001,55.59,55.59,2218900
2016-10-07,55.84,55.84,54.759998,55.450001,55.450001,1261400
2016-10-10,55.860001,56.080002,55.619999,56.0,56.0,965900
2016-10-11,55.84,55.900002,55.080002,55.330002,55.330002,2364700
2016-10-12,55.189999,56.689999,55.080002,55.599998,55.599998,3373000
2016-10-13,55.220001,57.07,54.970001,56.98,56.98,3730700
2016-10-14,57.200001,58.099998,56.959999,56.970001,56.970001,2730400
2016-10-17,57.150002,57.84,56.610001,56.689999,56.689999,1815700
2016-10-18,57.32,57.540001,55.970001,56.619999,56.619999,2389900
2016-10-19,56.889999,57.869999,56.48,57.439999,57.439999,2037100
2016-10-20,57.919998,59.57,57.900002,59.18,59.18,4570200
2016-10-21,59.040001,59.150002,57.16,57.400002,57.400002,3862900
2016-10-24,57.73,58.580002,57.48,58.560001,58.560001,1724200
2016-10-25,58.580002,59.52,58.490002,58.759998,58.759998,2570000
2016-10-26,58.610001,58.610001,57.82,58.23,58.23,1036500
2016-10-27,58.389999,58.619999,57.919998,58.18,58.18,1242400
2016-10-28,58.07,58.720001,57.34,57.380001,57.380001,2240800
2016-10-31,57.689999,58.73,57.540001,58.560001,58.560001,1823200
2016-11-01,58.59,58.689999,57.150002,57.189999,57.189999,2245200
2016-11-02,57.259998,57.27,55.049999,55.099998,55.099998,3741700
2016-11-03,55.360001,55.849998,54.709999,54.919998,54.919998,2497200
2016-11-04,54.450001,55.619999,54.450001,54.93,54.93,1712400
2016-11-07,55.91,56.75,55.360001,56.25,56.25,1818200
2016-11-08,56.349998,57.049999,55.860001,56.68,56.68,2246200
2016-11-09,54.32,58.599998,54.279999,57.93,57.93,3176300
2016-11-10,57.919998,58.970001,55.75,56.380001,56.380001,3711600
2016-11-11,55.889999,56.43,54.529999,55.549999,55.549999,3018100
2016-11-14,55.560001,55.939999,53.880001,53.970001,53.970001,2412700
2016-11-15,53.959999,54.880001,53.889999,54.799999,54.799999,1855300
2016-11-16,54.34,54.73,54.0,54.700001,54.700001,1657300
2016-11-17,54.400002,55.779999,54.400002,55.66,55.66,1637500
2016-11-18,55.490002,56.110001,55.209999,55.849998,55.849998,2115300
2016-11-21,55.91,56.59,55.650002,56.169998,56.169998,1530600
2016-11-22,56.189999,56.34,55.66,56.07,56.07,1209600
